Time: 12:01:39.769773| DEBUG    | func: 6| mode: 1| size: 4| data: -117.1
Time: 12:01:39.851797| SENSOR   | Yaw value received: -117.1
Time: 12:01:39.854357| SYSTEM   | Changed compass orientation
Time: 12:01:40.278096| DEBUG    | func: 9| mode: 1| size: 12| data: update (42s)
Time: 12:01:40.357542| LOG      | [INFO]: received: update (42s)
Time: 12:01:40.379581| DEBUG    | func: 6| mode: 1| size: 4| data: -117.1
Time: 12:01:40.458468| SENSOR   | Yaw value received: -117.1
Time: 12:01:40.461121| SYSTEM   | Changed compass orientation
Time: 12:01:40.787215| DEBUG    | func: 9| mode: 1| size: 12| data: update (43s)
Time: 12:01:40.863312| LOG      | [INFO]: received: update (43s)
Time: 12:01:40.890517| DEBUG    | func: 6| mode: 1| size: 4| data: -117.0
Time: 12:01:40.964290| SENSOR   | Yaw value received: -117.0
Time: 12:01:40.967285| SYSTEM   | Changed compass orientation
Time: 12:01:41.295941| DEBUG    | func: 9| mode: 1| size: 12| data: update (43s)
Time: 12:01:41.370621| LOG      | [INFO]: received: update (43s)
Time: 12:01:41.398128| DEBUG    | func: 6| mode: 1| size: 4| data: -117.0
Time: 12:01:41.471813| SENSOR   | Yaw value received: -117.0
Time: 12:01:41.474395| SYSTEM   | Changed compass orientation
Time: 12:01:41.806566| DEBUG    | func: 9| mode: 1| size: 12| data: update (44s)
Time: 12:01:41.877251| LOG      | [INFO]: received: update (44s)
Time: 12:01:41.908384| DEBUG    | func: 6| mode: 1| size: 4| data: -117.1
Time: 12:01:41.978764| SENSOR   | Yaw value received: -117.1
Time: 12:01:41.981422| SYSTEM   | Changed compass orientation
Time: 12:01:42.414025| DEBUG    | func: 9| mode: 1| size: 12| data: update (44s)
Time: 12:01:42.484967| LOG      | [INFO]: received: update (44s)
Time: 12:01:42.516601| DEBUG    | func: 6| mode: 1| size: 4| data: -117.1
Time: 12:01:42.585747| SENSOR   | Yaw value received: -117.1
Time: 12:01:42.587777| SYSTEM   | Changed compass orientation
Time: 12:01:42.823400| DEBUG    | func: 9| mode: 1| size: 12| data: update (45s)
Time: 12:01:42.890629| LOG      | [INFO]: received: update (45s)
Time: 12:01:42.926628| DEBUG    | func: 6| mode: 1| size: 4| data: -117.1
Time: 12:01:42.991501| SENSOR   | Yaw value received: -117.1
Time: 12:01:42.994521| SYSTEM   | Changed compass orientation
Time: 12:01:43.331988| DEBUG    | func: 9| mode: 1| size: 12| data: update (45s)
Time: 12:01:43.397209| LOG      | [INFO]: received: update (45s)
Time: 12:01:43.433506| DEBUG    | func: 6| mode: 1| size: 4| data: -117.1
Time: 12:01:43.497845| SENSOR   | Yaw value received: -117.1
Time: 12:01:43.500468| SYSTEM   | Changed compass orientation
Time: 12:01:43.841061| DEBUG    | func: 9| mode: 1| size: 12| data: update (46s)
Time: 12:01:43.903926| LOG      | [INFO]: received: update (46s)
Time: 12:01:43.943477| DEBUG    | func: 6| mode: 1| size: 4| data: -119.0
Time: 12:01:44.004901| SENSOR   | Yaw value received: -119.0
Time: 12:01:44.007896| SYSTEM   | Changed compass orientation
Time: 12:01:44.348049| DEBUG    | func: 9| mode: 1| size: 12| data: update (46s)
Time: 12:01:44.409797| LOG      | [INFO]: received: update (46s)
Time: 12:01:44.452111| DEBUG    | func: 6| mode: 1| size: 4| data: -119.0
Time: 12:01:44.510685| SENSOR   | Yaw value received: -119.0
Time: 12:01:44.512711| SYSTEM   | Changed compass orientation
Time: 12:01:44.869895| DEBUG    | func: 9| mode: 1| size: 12| data: update (47s)
Time: 12:01:44.916504| LOG      | [INFO]: received: update (47s)
Time: 12:01:44.973032| DEBUG    | func: 6| mode: 1| size: 4| data: -119.4
Time: 12:01:45.017874| SENSOR   | Yaw value received: -119.4
Time: 12:01:45.020461| SYSTEM   | Changed compass orientation
Time: 12:01:45.480431| DEBUG    | func: 9| mode: 1| size: 12| data: update (47s)
Time: 12:01:45.524546| LOG      | [INFO]: received: update (47s)
Time: 12:01:45.582311| DEBUG    | func: 6| mode: 1| size: 4| data: -119.4
Time: 12:01:45.625573| SENSOR   | Yaw value received: -119.4
Time: 12:01:45.628595| SYSTEM   | Changed compass orientation
Time: 12:01:45.989961| DEBUG    | func: 9| mode: 1| size: 12| data: update (48s)
Time: 12:01:46.031179| LOG      | [INFO]: received: update (48s)
Time: 12:01:46.093119| DEBUG    | func: 6| mode: 1| size: 4| data: -117.9
Time: 12:01:46.132078| SENSOR   | Yaw value received: -117.9
Time: 12:01:46.135102| SYSTEM   | Changed compass orientation
Time: 12:01:46.498889| DEBUG    | func: 9| mode: 1| size: 12| data: update (48s)
Time: 12:01:46.537308| LOG      | [INFO]: received: update (48s)
Time: 12:01:46.601623| DEBUG    | func: 6| mode: 1| size: 4| data: -117.9
Time: 12:01:46.638415| SENSOR   | Yaw value received: -117.9
Time: 12:01:46.640439| SYSTEM   | Changed compass orientation
Time: 12:01:47.008636| DEBUG    | func: 9| mode: 1| size: 12| data: update (49s)
Time: 12:01:47.042235| LOG      | [INFO]: received: update (49s)
Time: 12:01:47.111238| DEBUG    | func: 6| mode: 1| size: 4| data: -117.0
Time: 12:01:47.143114| SENSOR   | Yaw value received: -117.0
Time: 12:01:47.145139| SYSTEM   | Changed compass orientation
Time: 12:01:47.516381| DEBUG    | func: 9| mode: 1| size: 12| data: update (50s)
Time: 12:01:47.548671| LOG      | [INFO]: received: update (50s)
Time: 12:01:47.619424| DEBUG    | func: 6| mode: 1| size: 4| data: -117.0
Time: 12:01:47.649233| SENSOR   | Yaw value received: -117.0
Time: 12:01:47.652262| SYSTEM   | Changed compass orientation
